Title,Geek Rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Age,Type 1,Type 2
Brass: Birmingham,8.421,8.61,41991,84.99,2018.0,3.89,2.0,4.0,60.0,120.0,14.0,Strategy,
Pandemic Legacy: Season 1,8.386,8.53,51950,49.97,2015.0,2.83,2.0,4.0,60.0,60.0,13.0,Strategy,Thematic
Gloomhaven,8.374,8.61,60276,,2017.0,3.9,1.0,4.0,60.0,120.0,14.0,Strategy,Thematic
Ark Nova,8.321,8.53,37020,58.99,2021.0,3.74,1.0,4.0,90.0,150.0,14.0,Strategy,
Twilight Imperium: Fourth Edition,8.242,8.61,22123,126.49,2017.0,4.31,3.0,6.0,240.0,480.0,14.0,Strategy,Thematic
Terraforming Mars,8.222,8.37,94074,79.99,2016.0,3.26,1.0,5.0,120.0,120.0,12.0,Strategy,
Dune: Imperium,8.209,8.42,39629,51.43,2020.0,3.03,1.0,4.0,60.0,120.0,14.0,Strategy,
Gloomhaven: Jaws of the Lion,8.189,8.47,31558,36.97,2020.0,3.64,1.0,4.0,30.0,120.0,14.0,Strategy,Thematic
War of the Ring: Second Edition,8.181,8.53,20119,74.89,2011.0,4.21,2.0,4.0,150.0,180.0,13.0,Thematic,Wargames
Star Wars: Rebellion,8.171,8.42,31079,,2016.0,3.74,2.0,4.0,180.0,240.0,14.0,Thematic,
Spirit Island,8.151,8.35,47542,67.31,2017.0,4.06,1.0,4.0,90.0,120.0,13.0,Strategy,
Gaia Project,8.129,8.39,25780,78.99,2017.0,4.4,1.0,4.0,60.0,150.0,12.0,Strategy,
Twilight Struggle,8.076,8.25,47650,56.18,2005.0,3.61,2.0,2.0,120.0,180.0,13.0,Strategy,Wargames
Through the Ages: A New Story of Civilization,8.074,8.3,30598,69.73,2015.0,4.44,2.0,4.0,120.0,120.0,14.0,Strategy,
Great Western Trail,8.048,8.21,39618,39.99,2016.0,3.7,2.0,4.0,75.0,150.0,12.0,Strategy,
The Castles of Burgundy,8.009,8.13,59824,49.99,2011.0,2.99,2.0,4.0,30.0,90.0,12.0,Strategy,
Scythe,8.006,8.16,79816,65.92,2016.0,3.44,1.0,5.0,90.0,115.0,14.0,Strategy,
7 Wonders Duel,7.972,8.1,89345,21.99,2015.0,2.23,2.0,2.0,30.0,30.0,10.0,Strategy,
Eclipse: Second Dawn for the Galaxy,7.969,8.48,12086,168.88,2020.0,3.67,2.0,6.0,60.0,200.0,14.0,Strategy,
Brass: Lancashire,7.962,8.19,24175,78.99,2007.0,3.86,2.0,4.0,60.0,120.0,14.0,Strategy,
Nemesis,7.961,8.28,28296,199.9,2018.0,3.46,1.0,5.0,90.0,180.0,12.0,Thematic,
A Feast for Odin,7.948,8.18,26895,96.78,2016.0,3.86,1.0,4.0,30.0,120.0,12.0,Strategy,
Clank! Legacy: Acquisitions Incorporated,7.947,8.56,8712,118.97,2019.0,2.71,2.0,4.0,90.0,120.0,13.0,Thematic,
Concordia,7.947,8.1,38871,62.92,2013.0,2.99,2.0,5.0,100.0,100.0,13.0,Strategy,
Wingspan,7.916,8.06,85796,44.99,2019.0,2.46,1.0,5.0,40.0,70.0,10.0,Family,Strategy
Terra Mystica,7.911,8.07,46882,59.97,2012.0,3.97,2.0,5.0,60.0,150.0,12.0,Strategy,
Arkham Horror: The Card Game,7.905,8.13,41392,23.88,2016.0,3.53,1.0,2.0,60.0,120.0,14.0,Customizable,Thematic
Lost Ruins of Arnak,7.896,8.08,39421,39.99,2020.0,2.91,1.0,4.0,30.0,120.0,12.0,Family,Strategy
Root,7.885,8.08,47238,59.94,2018.0,3.78,2.0,4.0,60.0,90.0,10.0,Strategy,Wargames
Great Western Trail: Second Edition,7.883,8.38,10554,61.44,2021.0,3.72,1.0,4.0,75.0,150.0,12.0,Strategy,
Orléans,7.876,8.06,30130,54.28,2014.0,3.03,2.0,5.0,90.0,90.0,12.0,Strategy,
Everdell,7.859,8.04,49662,55.0,2018.0,2.81,1.0,4.0,40.0,80.0,13.0,Family,Strategy
Mage Knight Board Game,7.857,8.09,32608,61.59,2011.0,4.36,1.0,4.0,60.0,240.0,14.0,Strategy,Thematic
Viticulture Essential Edition,7.85,8.0,46331,48.63,2015.0,2.89,1.0,6.0,45.0,90.0,13.0,Strategy,
Barrage,7.85,8.18,16255,,2019.0,4.1,1.0,4.0,60.0,120.0,14.0,Strategy,
The Crew: Mission Deep Sea,7.848,8.19,14710,27.0,2021.0,2.05,2.0,5.0,20.0,20.0,10.0,Family,
Too Many Bones,7.84,8.35,11911,159.95,2017.0,3.85,1.0,4.0,60.0,120.0,12.0,Strategy,Thematic
Food Chain Magnate,7.81,8.07,19542,104.0,2015.0,4.2,2.0,5.0,120.0,240.0,14.0,Strategy,
Pax Pamir: Second Edition,7.801,8.22,12578,78.99,2019.0,3.84,1.0,5.0,45.0,120.0,13.0,Strategy,
Marvel Champions: The Card Game,7.8,8.13,22103,41.99,2019.0,2.92,1.0,4.0,45.0,90.0,14.0,Customizable,
Underwater Cities,7.789,8.07,18303,61.02,2018.0,3.6,1.0,4.0,80.0,150.0,12.0,Strategy,
Puerto Rico,7.787,7.92,69960,,2002.0,3.27,3.0,5.0,90.0,150.0,12.0,Strategy,
Frosthaven,7.785,8.87,5653,199.98,2022.0,4.34,1.0,4.0,30.0,120.0,14.0,Strategy,Thematic
Caverna: The Cave Farmers,7.774,7.96,33888,67.6,2013.0,3.78,1.0,7.0,30.0,210.0,12.0,Strategy,
Blood Rage,7.768,7.94,45373,84.19,2015.0,2.88,2.0,4.0,60.0,90.0,14.0,Strategy,
Cascadia,7.767,7.96,31932,29.99,2021.0,1.83,1.0,4.0,30.0,45.0,10.0,Abstract,Family
Anachrony,7.761,8.08,17679,,2017.0,4.02,1.0,4.0,30.0,120.0,15.0,Strategy,
Agricola,7.758,7.88,71477,67.59,2007.0,3.64,1.0,5.0,30.0,150.0,12.0,Strategy,
On Mars,7.758,8.21,11797,112.49,2020.0,4.67,1.0,4.0,90.0,150.0,14.0,Strategy,
Crokinole,7.75,8.02,17071,170.0,1876.0,1.24,2.0,4.0,30.0,30.0,8.0,Family,
Kanban EV,7.739,8.44,6816,121.49,2020.0,4.31,1.0,4.0,60.0,180.0,14.0,Strategy,
Sleeping Gods,7.737,8.26,10185,89.88,2021.0,3.23,1.0,4.0,60.0,1200.0,13.0,Thematic,
Pandemic Legacy: Season 0,7.736,8.42,6949,69.9,2020.0,3.15,2.0,4.0,45.0,60.0,14.0,Strategy,Thematic
Heat: Pedal to the Metal,7.735,8.1,15140,124.99,2022.0,2.19,1.0,6.0,30.0,60.0,10.0,Family,
Pandemic Legacy: Season 2,7.733,8.04,16333,53.99,2017.0,3.25,2.0,4.0,60.0,60.0,14.0,Strategy,Thematic
Mansions of Madness: Second Edition,7.725,7.96,34910,89.99,2016.0,2.67,1.0,5.0,120.0,180.0,14.0,Thematic,
Lisboa,7.721,8.2,10478,139.99,2017.0,4.59,1.0,4.0,60.0,120.0,12.0,Strategy,
Maracaibo,7.72,8.05,15125,58.99,2019.0,3.9,1.0,4.0,30.0,120.0,12.0,Strategy,
Tzolk'in: The Mayan Calendar,7.711,7.87,38161,59.95,2012.0,3.67,2.0,4.0,90.0,90.0,13.0,Strategy,
Power Grid,7.708,7.82,64093,44.95,2004.0,3.26,2.0,6.0,120.0,120.0,12.0,Strategy,
The Quacks of Quedlinburg,7.69,7.83,45792,39.99,2018.0,1.95,2.0,4.0,45.0,45.0,10.0,Family,
Clans of Caledonia,7.689,7.95,19803,,2017.0,3.46,1.0,4.0,30.0,120.0,12.0,Strategy,
Le Havre,7.685,7.85,30931,,2008.0,3.72,1.0,5.0,30.0,150.0,12.0,Strategy,
Paladins of the West Kingdom,7.684,7.99,16669,50.76,2019.0,3.72,1.0,4.0,90.0,120.0,12.0,Strategy,
Star Wars: Imperial Assault,7.682,7.97,24140,97.93,2014.0,3.3,1.0,5.0,60.0,120.0,14.0,Thematic,
The Crew: The Quest for Planet Nine,7.682,7.83,39044,14.99,2019.0,1.96,2.0,5.0,20.0,20.0,10.0,Family,Strategy
The Gallerist,7.68,8.03,13955,116.95,2015.0,4.26,1.0,4.0,60.0,150.0,13.0,Strategy,
Grand Austria Hotel,7.673,7.93,19556,64.99,2015.0,3.22,2.0,4.0,60.0,120.0,12.0,Strategy,
Mechs vs. Minions,7.669,7.98,17079,,2016.0,2.43,2.0,4.0,60.0,120.0,14.0,Strategy,Thematic
Cthulhu: Death May Die,7.667,8.17,10881,87.99,2019.0,2.44,1.0,5.0,90.0,120.0,14.0,Thematic,
Android: Netrunner,7.66,7.88,29685,89.95,2012.0,3.4,2.0,2.0,45.0,45.0,14.0,Customizable,
Kingdom Death: Monster,7.659,8.5,9372,849.0,2015.0,4.27,1.0,4.0,60.0,180.0,17.0,Thematic,
Azul,7.646,7.76,84533,21.7,2017.0,1.76,2.0,4.0,30.0,45.0,8.0,Abstract,Family
Obsession,7.636,8.16,9521,,2018.0,3.11,1.0,4.0,30.0,90.0,14.0,Strategy,Thematic
Agricola (Revised Edition),7.634,7.96,16683,67.59,2016.0,3.46,1.0,4.0,30.0,120.0,12.0,Strategy,
Race for the Galaxy,7.633,7.75,54271,27.38,2007.0,2.99,2.0,4.0,30.0,60.0,12.0,Strategy,
Eclipse: New Dawn for the Galaxy,7.629,7.84,28124,,2011.0,3.7,2.0,6.0,60.0,180.0,14.0,Strategy,
Five Tribes,7.627,7.78,40360,,2014.0,2.85,2.0,4.0,40.0,80.0,13.0,Strategy,
